Min height,s0,s1,s2,s3,s4,s5,s6,s7
295.68642297521643,"[11310, 'Circle']","[11310, 'Circle']","[16200, 'Poly']","[14400, 'Poly']","[25447, 'Circle']","[14400, 'Poly']","[25447, 'Circle']","[16200, 'Poly']"
140.2146534261585,"[16200, 'Poly']","[11310, 'Circle']","[25447, 'Circle']","[11310, 'Circle']","[14400, 'Poly']","[16200, 'Poly']","[14400, 'Poly']","[25447, 'Circle']"
253.3136568918189,"[16200, 'Poly']","[11310, 'Circle']","[11310, 'Circle']","[14400, 'Poly']","[25447, 'Circle']","[14400, 'Poly']","[25447, 'Circle']","[16200, 'Poly']"
122.58853688106254,"[14400, 'Poly']","[14400, 'Poly']","[11310, 'Circle']","[25447, 'Circle']","[11310, 'Circle']","[16200, 'Poly']","[16200, 'Poly']","[25447, 'Circle']"
258.22515485331945,"[25447, 'Circle']","[11310, 'Circle']","[25447, 'Circle']","[14400, 'Poly']","[14400, 'Poly']","[11310, 'Circle']","[16200, 'Poly']","[16200, 'Poly']"
272.14256539963446,"[16200, 'Poly']","[11310, 'Circle']","[25447, 'Circle']","[14400, 'Poly']","[14400, 'Poly']","[11310, 'Circle']","[16200, 'Poly']","[25447, 'Circle']"
240.6287611401372,"[11310, 'Circle']","[11310, 'Circle']","[25447, 'Circle']","[14400, 'Poly']","[14400, 'Poly']","[25447, 'Circle']","[16200, 'Poly']","[16200, 'Poly']"
239.3004274235481,"[11310, 'Circle']","[25447, 'Circle']","[14400, 'Poly']","[16200, 'Poly']","[16200, 'Poly']","[14400, 'Poly']","[25447, 'Circle']","[11310, 'Circle']"
253.382434989918,"[16200, 'Poly']","[14400, 'Poly']","[25447, 'Circle']","[25447, 'Circle']","[14400, 'Poly']","[11310, 'Circle']","[16200, 'Poly']","[11310, 'Circle']"
259.0103715829815,"[14400, 'Poly']","[25447, 'Circle']","[11310, 'Circle']","[16200, 'Poly']","[25447, 'Circle']","[11310, 'Circle']","[16200, 'Poly']","[14400, 'Poly']"
206.52782476068305,"[14400, 'Poly']","[11310, 'Circle']","[25447, 'Circle']","[11310, 'Circle']","[25447, 'Circle']","[16200, 'Poly']","[16200, 'Poly']","[14400, 'Poly']"
218.51340743478025,"[16200, 'Poly']","[11310, 'Circle']","[14400, 'Poly']","[11310, 'Circle']","[14400, 'Poly']","[25447, 'Circle']","[25447, 'Circle']","[16200, 'Poly']"
261.2566220330249,"[11310, 'Circle']","[16200, 'Poly']","[11310, 'Circle']","[25447, 'Circle']","[14400, 'Poly']","[14400, 'Poly']","[16200, 'Poly']","[25447, 'Circle']"
266.0796305345097,"[14400, 'Poly']","[25447, 'Circle']","[11310, 'Circle']","[16200, 'Poly']","[25447, 'Circle']","[16200, 'Poly']","[11310, 'Circle']","[14400, 'Poly']"
285.01084036461276,"[16200, 'Poly']","[14400, 'Poly']","[14400, 'Poly']","[11310, 'Circle']","[25447, 'Circle']","[25447, 'Circle']","[11310, 'Circle']","[16200, 'Poly']"
299.22235194002354,"[11310, 'Circle']","[14400, 'Poly']","[16200, 'Poly']","[25447, 'Circle']","[25447, 'Circle']","[16200, 'Poly']","[14400, 'Poly']","[11310, 'Circle']"
